date,feature_index,NO2,NO2_lag_1,NO2_lag_2,NO2_lag_3,NO2_lag_4,NO2_lag_5,NO2_lag_6,NO2_lag_7,year,month,day,dayofweek,dayofyear,month_sin,month_cos,day_sin,day_cos
2023-07-17 00:00:00+00:00,0,4.1422196356203735e-05,4.712718911928517e-05,3.900388272144952e-05,4.158182289228857e-05,7.683317505181644e-05,0.0001000086517799028,6.056735669517366e-05,5.119428586017181e-05,2023,7,17,0,198,-0.4999999999999997,-0.8660254037844388,-0.2993631229733582,-0.9541392564000488
2023-07-18 00:00:00+00:00,0,4.325227402140237e-05,4.1422196356203735e-05,4.712718911928517e-05,3.900388272144952e-05,4.158182289228857e-05,7.683317505181644e-05,0.0001000086517799028,6.056735669517366e-05,2023,7,18,1,199,-0.4999999999999997,-0.8660254037844388,-0.4853019625310808,-0.8743466161445822
2023-07-19 00:00:00+00:00,0,3.252365107592985e-05,4.325227402140237e-05,4.1422196356203735e-05,4.712718911928517e-05,3.900388272144952e-05,4.158182289228857e-05,7.683317505181644e-05,0.0001000086517799028,2023,7,19,2,200,-0.4999999999999997,-0.8660254037844388,-0.651372482722222,-0.7587581226927911
2023-07-20 00:00:00+00:00,0,8.460453782576297e-05,3.252365107592985e-05,4.325227402140237e-05,4.1422196356203735e-05,4.712718911928517e-05,3.900388272144952e-05,4.158182289228857e-05,7.683317505181644e-05,2023,7,20,3,201,-0.4999999999999997,-0.8660254037844388,-0.7907757369376986,-0.6121059825476627
2023-07-21 00:00:00+00:00,0,7.877769314204453e-05,8.460453782576297e-05,3.252365107592985e-05,4.325227402140237e-05,4.1422196356203735e-05,4.712718911928517e-05,3.900388272144952e-05,4.158182289228857e-05,2023,7,21,4,202,-0.4999999999999997,-0.8660254037844388,-0.8978045395707417,-0.44039415155763423
2023-07-22 00:00:00+00:00,0,3.718739057187625e-05,7.877769314204453e-05,8.460453782576297e-05,3.252365107592985e-05,4.325227402140237e-05,4.1422196356203735e-05,4.712718911928517e-05,3.900388272144952e-05,2023,7,22,5,203,-0.4999999999999997,-0.8660254037844388,-0.9680771188662041,-0.2506525322587213
2023-07-23 00:00:00+00:00,0,3.406681157592138e-05,3.718739057187625e-05,7.877769314204453e-05,8.460453782576297e-05,3.252365107592985e-05,4.325227402140237e-05,4.1422196356203735e-05,4.712718911928517e-05,2023,7,23,6,204,-0.4999999999999997,-0.8660254037844388,-0.9987165071710528,-0.05064916883871355
2023-07-24 00:00:00+00:00,0,3.180935479521191e-05,3.406681157592138e-05,3.718739057187625e-05,7.877769314204453e-05,8.460453782576297e-05,3.252365107592985e-05,4.325227402140237e-05,4.1422196356203735e-05,2023,7,24,0,205,-0.4999999999999997,-0.8660254037844388,-0.9884683243281114,0.15142777750457667
2023-07-25 00:00:00+00:00,0,4.238356563118508e-05,3.180935479521191e-05,3.406681157592138e-05,3.718739057187625e-05,7.877769314204453e-05,8.460453782576297e-05,3.252365107592985e-05,4.325227402140237e-05,2023,7,25,1,206,-0.4999999999999997,-0.8660254037844388,-0.9377521321470804,0.3473052528448203
2023-07-26 00:00:00+00:00,0,3.954468775191344e-05,4.238356563118508e-05,3.180935479521191e-05,3.406681157592138e-05,3.718739057187625e-05,7.877769314204453e-05,8.460453782576297e-05,3.252365107592985e-05,2023,7,26,2,207,-0.4999999999999997,-0.8660254037844388,-0.8486442574947509,0.5289640103269624
2023-07-27 00:00:00+00:00,0,4.6001110158798914e-05,3.954468775191344e-05,4.238356563118508e-05,3.180935479521191e-05,3.406681157592138e-05,3.718739057187625e-05,7.877769314204453e-05,8.460453782576297e-05,2023,7,27,3,208,-0.4999999999999997,-0.8660254037844388,-0.72479278722912,0.6889669190756865
2023-07-28 00:00:00+00:00,0,4.0946658619607966e-05,4.6001110158798914e-05,3.954468775191344e-05,4.238356563118508e-05,3.180935479521191e-05,3.406681157592138e-05,3.718739057187625e-05,7.877769314204453e-05,2023,7,28,4,209,-0.4999999999999997,-0.8660254037844388,-0.5712682150947924,0.8207634412072763
2023-07-29 00:00:00+00:00,0,3.326983218060804e-05,4.0946658619607966e-05,4.6001110158798914e-05,3.954468775191344e-05,4.238356563118508e-05,3.180935479521191e-05,3.406681157592138e-05,3.718739057187625e-05,2023,7,29,5,210,-0.4999999999999997,-0.8660254037844388,-0.3943558551133187,0.9189578116202306
2023-07-30 00:00:00+00:00,0,2.878805193888737e-05,3.326983218060804e-05,4.0946658619607966e-05,4.6001110158798914e-05,3.954468775191344e-05,4.238356563118508e-05,3.180935479521191e-05,3.406681157592138e-05,2023,7,30,6,211,-0.4999999999999997,-0.8660254037844388,-0.20129852008866114,0.9795299412524943
2023-07-31 00:00:00+00:00,0,2.396380125214726e-05,2.878805193888737e-05,3.326983218060804e-05,4.0946658619607966e-05,4.6001110158798914e-05,3.954468775191344e-05,4.238356563118508e-05,3.180935479521191e-05,2023,7,31,0,212,-0.4999999999999997,-0.8660254037844388,-2.4492935982947064e-16,1.0
2023-08-01 00:00:00+00:00,0,1.9556046115414774e-05,2.396380125214726e-05,2.878805193888737e-05,3.326983218060804e-05,4.0946658619607966e-05,4.6001110158798914e-05,3.954468775191344e-05,4.238356563118508e-05,2023,8,1,1,213,-0.8660254037844385,-0.5000000000000004,0.20129852008866006,0.9795299412524945
2023-08-02 00:00:00+00:00,0,2.6402343089158577e-05,1.9556046115414774e-05,2.396380125214726e-05,2.878805193888737e-05,3.326983218060804e-05,4.0946658619607966e-05,4.6001110158798914e-05,3.954468775191344e-05,2023,8,2,2,214,-0.8660254037844385,-0.5000000000000004,0.39435585511331855,0.9189578116202306
