date,feature_index,NO2
2025-09-10T00:00:00.000Z,0,3.815101346940777E-5
2025-09-12T00:00:00.000Z,0,3.4742182871620266E-5
2025-09-11T00:00:00.000Z,0,2.750853766011293E-5
2025-09-06T00:00:00.000Z,0,2.723905364339436E-5
2025-09-07T00:00:00.000Z,0,6.096002080842785E-5
2025-09-09T00:00:00.000Z,0,4.181585209153127E-5
2025-09-05T00:00:00.000Z,0,3.48694367205145E-5
2024-08-03T00:00:00.000Z,0,3.2057527978186414E-5
2024-08-04T00:00:00.000Z,0,4.004648662885302E-5
2024-08-06T00:00:00.000Z,0,4.4580515257584175E-5
2024-08-05T00:00:00.000Z,0,4.317327365038646E-5
2024-08-02T00:00:00.000Z,0,3.822425637457743E-5
2024-08-08T00:00:00.000Z,0,4.531278864305932E-5
2024-08-07T00:00:00.000Z,0,6.563443073698888E-5
2024-08-01T00:00:00.000Z,0,2.1631377455001134E-5
2025-05-21T00:00:00.000Z,0,4.424434951033618E-5
2025-05-23T00:00:00.000Z,0,
2025-05-16T00:00:00.000Z,0,4.527539655602344E-5
2025-05-18T00:00:00.000Z,0,2.449344193385179E-5
2025-05-22T00:00:00.000Z,0,3.616217411315749E-5
2025-05-19T00:00:00.000Z,0,3.9216330926003E-5
2025-05-20T00:00:00.000Z,0,5.0844861107179895E-5
2025-05-17T00:00:00.000Z,0,3.212931412570853E-5
2025-08-16T00:00:00.000Z,0,5.24660480717715E-5
2025-08-13T00:00:00.000Z,0,3.379923373358906E-5
2025-08-19T00:00:00.000Z,0,1.902220633166421E-5
2025-08-12T00:00:00.000Z,0,3.929505538155577E-5
2025-08-17T00:00:00.000Z,0,2.150830159092473E-5
2025-08-15T00:00:00.000Z,0,3.937638122843797E-5
2025-08-18T00:00:00.000Z,0,2.2999535571323257E-5
2025-08-14T00:00:00.000Z,0,3.6107398045714945E-5
2024-03-15T00:00:00.000Z,0,1.4326941709441599E-5
2024-03-14T00:00:00.000Z,0,
2024-03-13T00:00:00.000Z,0,
2024-03-17T00:00:00.000Z,0,1.9284070731373504E-5
2024-03-12T00:00:00.000Z,0,
2024-03-10T00:00:00.000Z,0,
2024-03-16T00:00:00.000Z,0,2.8315126158033946E-5
2024-03-11T00:00:00.000Z,0,
2024-04-12T00:00:00.000Z,0,2.4140472628313283E-5
2024-04-16T00:00:00.000Z,0,3.194207751314538E-5
2024-04-13T00:00:00.000Z,0,2.177906896273877E-5
2024-04-11T00:00:00.000Z,0,2.3363685613730922E-5
2024-04-15T00:00:00.000Z,0,3.24273351384847E-5
2024-04-17T00:00:00.000Z,0,
2024-04-14T00:00:00.000Z,0,2.8873431542056744E-5
2024-04-18T00:00:00.000Z,0,3.366218645371393E-5
2024-05-06T00:00:00.000Z,0,5.550767172081112E-5
2024-05-08T00:00:00.000Z,0,3.477954429932075E-5
2024-05-10T00:00:00.000Z,0,1.792092315883294E-5
2024-05-07T00:00:00.000Z,0,3.460719554656249E-5
2024-05-11T00:00:00.000Z,0,2.9299128666990533E-5
2024-05-09T00:00:00.000Z,0,2.797600566911105E-5
2024-05-05T00:00:00.000Z,0,4.428625037261929E-5
2024-05-12T00:00:00.000Z,0,2.1492736091111472E-5
2024-05-29T00:00:00.000Z,0,2.2851675756404195E-5
2024-05-31T00:00:00.000Z,0,2.317651859337512E-5
2024-06-02T00:00:00.000Z,0,3.076840870822447E-5
2024-06-03T00:00:00.000Z,0,5.516460487342556E-5
2024-06-04T00:00:00.000Z,0,3.990249580627194E-5
2024-06-05T00:00:00.000Z,0,5.383780670534769E-5
2024-05-30T00:00:00.000Z,0,3.972539902211533E-5
2024-06-01T00:00:00.000Z,0,3.925109710359479E-5
2025-05-03T00:00:00.000Z,0,3.341538757178403E-5
2025-05-07T00:00:00.000Z,0,3.3287594512578586E-5
2025-04-30T00:00:00.000Z,0,3.598067380561569E-5
2025-05-06T00:00:00.000Z,0,3.932857862309902E-5
2025-05-02T00:00:00.000Z,0,
2025-05-04T00:00:00.000Z,0,2.92304608796703E-5
2025-05-01T00:00:00.000Z,0,4.672556329191698E-5
2025-05-05T00:00:00.000Z,0,3.219484592498665E-5
2025-06-26T00:00:00.000Z,0,5.29191393070505E-5
2025-07-01T00:00:00.000Z,0,2.992816756375305E-5
2025-06-29T00:00:00.000Z,0,2.5395769038520182E-5
2025-06-27T00:00:00.000Z,0,1.8842069015552927E-5
2025-06-30T00:00:00.000Z,0,3.677763092319334E-5
2025-07-02T00:00:00.000Z,0,3.8247193477521556E-5
2025-06-28T00:00:00.000Z,0,2.267614429645922E-5
2025-06-25T00:00:00.000Z,0,
2025-07-26T00:00:00.000Z,0,3.043457698887713E-5
2025-07-19T00:00:00.000Z,0,5.102107822424911E-5
2025-07-21T00:00:00.000Z,0,5.0882170891478985E-5
2025-07-25T00:00:00.000Z,0,3.421846876960899E-5
2025-07-22T00:00:00.000Z,0,2.8522612560567373E-5
2025-07-24T00:00:00.000Z,0,4.341872751632933E-5
2025-07-20T00:00:00.000Z,0,4.8254451232626E-5
2025-07-23T00:00:00.000Z,0,3.81690188836122E-5
2024-05-24T00:00:00.000Z,0,2.6409762409053252E-5
2024-05-28T00:00:00.000Z,0,2.1956972422560014E-5
2024-05-21T00:00:00.000Z,0,3.8324346860463265E-5
2024-05-25T00:00:00.000Z,0,5.5256616360566116E-5
2024-05-27T00:00:00.000Z,0,3.278854439152067E-5
2024-05-23T00:00:00.000Z,0,4.457952292113987E-5
2024-05-22T00:00:00.000Z,0,4.3333128465187307E-5
2024-05-26T00:00:00.000Z,0,3.665442141532872E-5
2024-06-29T00:00:00.000Z,0,4.105853886172479E-5
2024-06-25T00:00:00.000Z,0,5.1238967991631234E-5
2024-06-23T00:00:00.000Z,0,
2024-06-22T00:00:00.000Z,0,4.845478281367832E-5
2024-06-28T00:00:00.000Z,0,2.6415903731604986E-5
2024-06-26T00:00:00.000Z,0,3.4563942567821903E-5
2024-06-27T00:00:00.000Z,0,2.573921476785775E-5
2024-06-24T00:00:00.000Z,0,
2024-07-22T00:00:00.000Z,0,4.368032433394918E-5
2024-07-20T00:00:00.000Z,0,3.774949118451332E-5
2024-07-23T00:00:00.000Z,0,5.034311528250232E-5
2024-07-19T00:00:00.000Z,0,4.584851289261375E-5
2024-07-18T00:00:00.000Z,0,3.086212306549655E-5
2024-07-17T00:00:00.000Z,0,2.978876783549358E-5
2024-07-21T00:00:00.000Z,0,4.1230646231616406E-5
2024-07-16T00:00:00.000Z,0,6.328420248773539E-5
2024-08-15T00:00:00.000Z,0,6.824887681836522E-5
2024-08-13T00:00:00.000Z,0,3.3779367353120934E-5
2024-08-12T00:00:00.000Z,0,
2024-08-10T00:00:00.000Z,0,3.908182583361441E-5
2024-08-16T00:00:00.000Z,0,3.972260536993046E-5
2024-08-11T00:00:00.000Z,0,2.8666231028569684E-5
2024-08-09T00:00:00.000Z,0,3.8845414583564126E-5
2024-08-14T00:00:00.000Z,0,3.5850829381918935E-5
2024-09-03T00:00:00.000Z,0,3.3454854075193444E-5
2024-09-05T00:00:00.000Z,0,3.260494838973593E-5
2024-09-02T00:00:00.000Z,0,2.7623221047265578E-5
2024-09-06T00:00:00.000Z,0,3.253642731875998E-5
2024-09-04T00:00:00.000Z,0,2.170777866545092E-5
2024-09-08T00:00:00.000Z,0,3.0480772238661302E-5
2024-09-07T00:00:00.000Z,0,2.5898516487730526E-5
2024-09-09T00:00:00.000Z,0,3.711222606480905E-5
2024-09-27T00:00:00.000Z,0,5.373050056126279E-5
2024-09-29T00:00:00.000Z,0,3.279389791862982E-5
2024-10-02T00:00:00.000Z,0,3.240458288334538E-5
2024-09-26T00:00:00.000Z,0,3.793071277868876E-5
2024-09-28T00:00:00.000Z,0,3.317441023311255E-5
2024-10-03T00:00:00.000Z,0,2.7376149228075518E-5
2024-09-30T00:00:00.000Z,0,2.7711004990198155E-5
2024-10-01T00:00:00.000Z,0,2.1573949576729017E-5
2024-11-01T00:00:00.000Z,0,
2024-10-31T00:00:00.000Z,0,4.535492819286446E-5
2024-10-29T00:00:00.000Z,0,3.6013414595951566E-5
2024-11-03T00:00:00.000Z,0,2.3214426362709415E-5
2024-10-28T00:00:00.000Z,0,5.309865866567836E-5
2024-11-02T00:00:00.000Z,0,2.0091236683583703E-5
2024-10-30T00:00:00.000Z,0,2.1905116051241246E-5
2024-11-04T00:00:00.000Z,0,2.2291264237785732E-5
2025-03-27T00:00:00.000Z,0,5.432435881673536E-5
2025-03-26T00:00:00.000Z,0,3.1359150047397375E-5
2025-03-21T00:00:00.000Z,0,2.3270860625556313E-5
2025-03-22T00:00:00.000Z,0,3.470813680905849E-5
2025-03-28T00:00:00.000Z,0,4.824878305953462E-5
2025-03-24T00:00:00.000Z,0,5.159229476703331E-5
2025-03-23T00:00:00.000Z,0,2.523364774889261E-5
